,density,DH_mix,DS_mix,T_m,delta,D_elneg,VEC,lattice
251,7.27,-15.17,14.9,1702.9,3.25,0.16,7.33,multi-phase
252,7.86,-10.64,13.37,1874.13,4.72,0.13,8.05,multi-phase
253,8.06,-10.25,14.17,1942.25,5.09,0.15,7.92,multi-phase
254,8.2,-9.96,14.39,1987.67,5.28,0.16,7.83,multi-phase
255,7.99,-4.92,14.53,2418.4,7.13,0.22,4.9,multi-phase
256,7.51,-4.0,15.45,1716.02,6.95,0.12,8.09,multi-phase
257,7.3,-8.01,15.93,1757.53,10.32,0.12,7.75,multi-phase
258,7.1,-11.03,16.01,1793.92,12.42,0.13,7.46,multi-phase
259,6.94,-17.32,15.75,1543.84,15.45,0.29,7.09,multi-phase
260,7.13,-5.63,16.18,1613.89,4.57,0.14,7.71,multi-phase
261,7.2,-4.47,15.6,1670.55,4.95,0.13,7.77,multi-phase
262,7.32,-4.2,15.91,1708.85,5.05,0.15,7.72,multi-phase
263,7.43,-3.95,16.08,1744.82,5.13,0.15,7.67,multi-phase
264,7.53,-3.72,16.16,1778.68,5.2,0.16,7.62,multi-phase
265,7.62,-3.51,16.18,1810.61,5.25,0.17,7.57,multi-phase
266,6.06,-18.86,16.18,1637.89,5.65,0.12,7.29,multi-phase
267,7.46,-7.28,15.55,1765.31,5.02,0.13,8.0,multi-phase
268,7.07,-10.11,16.0,1724.49,5.76,0.14,7.73,multi-phase
269,6.77,-14.39,15.55,1726.74,5.83,0.13,7.27,multi-phase
270,6.54,-15.5,15.55,1692.25,6.01,0.13,7.09,multi-phase
271,6.63,-13.42,15.86,1678.31,5.9,0.13,7.25,multi-phase
272,6.58,-13.8,16.18,1674.18,6.23,0.14,7.29,multi-phase
273,7.56,-2.5,15.45,1710.19,3.87,0.11,8.16,multi-phase
274,7.5,-3.34,15.76,1726.22,3.91,0.12,8.05,multi-phase
275,7.45,-4.07,15.93,1741.2,3.94,0.12,7.95,multi-phase
276,7.4,-4.71,16.0,1755.22,3.97,0.12,7.86,multi-phase
277,7.36,-5.25,16.01,1768.39,3.98,0.12,7.77,multi-phase
278,7.32,-5.73,15.97,1780.76,3.99,0.12,7.69,multi-phase
279,7.28,-6.14,15.91,1792.42,4.0,0.12,7.61,multi-phase
280,7.24,-6.5,15.82,1803.42,4.0,0.12,7.54,multi-phase
281,7.2,-6.81,15.72,1813.82,3.99,0.12,7.47,multi-phase
282,7.17,-7.08,15.6,1823.67,3.99,0.12,7.4,multi-phase
283,6.92,-7.76,16.18,1708.75,4.69,0.13,7.43,multi-phase
284,6.06,-18.32,16.01,1662.73,11.11,0.2,6.85,multi-phase
285,5.91,-19.0,16.16,1668.74,12.54,0.22,6.68,multi-phase
286,5.83,-19.35,16.18,1672.46,13.24,0.23,6.57,multi-phase
287,7.24,-10.43,15.91,1806.62,3.88,0.14,7.22,multi-phase
288,6.46,-15.96,15.69,1630.29,5.33,0.14,6.8,multi-phase
289,6.43,-16.26,15.75,1680.54,5.17,0.14,6.64,multi-phase
290,6.99,-10.15,15.83,1761.1,4.23,0.13,6.95,multi-phase
291,6.52,-13.94,17.29,1737.78,5.87,0.14,7.0,multi-phase
292,7.26,-8.12,17.29,1810.97,5.19,0.15,7.5,multi-phase
293,6.61,-12.74,18.27,1713.47,5.75,0.15,7.0,multi-phase
294,6.13,-15.44,17.99,1635.47,6.01,0.14,6.6,multi-phase
295,5.13,-18.29,15.97,1459.97,6.09,0.13,5.7,multi-phase
296,7.08,-47.59,14.62,1396.12,16.85,0.433,5.64,amorphous
297,6.77,-22.06,10.39,1266.06,15.78,0.35,5.21,amorphous
298,6.55,-30.6,9.19,1175.8,15.53,0.343,4.85,amorphous
299,6.69,-19.86,9.32,1233.62,14.41,0.325,4.6,amorphous
300,7.85,-33.46,13.34,2330.21,18.37,0.292,6.85,amorphous
301,7.2,-24.37,10.91,1927.33,13.29,0.0936,7.16,amorphous
302,7.87,-33.41,12.82,2329.14,18.36,0.29100000000000004,6.87,amorphous
303,7.27,-24.34,10.54,1924.23,13.25,0.0923,7.23,amorphous
304,7.34,-24.27,9.88,1921.14,13.21,0.0909,7.3,amorphous
305,7.41,-24.16,8.83,1918.04,13.17,0.0892,7.38,amorphous
306,8.5,-27.36,13.38,1932.15,10.21,0.266,6.6,amorphous
307,6.7,-16.35,10.45,1643.41,8.64,0.215,7.65,amorphous
308,6.71,-16.89,10.07,1667.87,8.58,0.214,7.77,amorphous
309,7.04,-33.26,10.95,1531.19,13.84,0.268,4.18,amorphous
310,7.83,-37.6,13.38,1554.49,13.66,0.281,4.4,amorphous
311,7.27,-22.32,10.65,1998.0,15.55,0.206,6.7,amorphous
312,7.22,-22.65,10.54,1981.41,15.59,0.206,6.7,amorphous
313,7.3,-22.48,10.3,1989.76,15.55,0.204,6.76,amorphous
314,6.23,-34.28,11.26,1508.39,14.49,0.276,4.2,amorphous
315,6.25,-28.15,12.74,1212.17,15.42,0.326,4.31,amorphous
316,6.26,-27.88,12.91,1183.45,15.2,0.328,4.45,amorphous
317,6.26,-27.84,12.74,1175.25,15.14,0.329,4.49,amorphous
318,6.26,-27.83,12.11,1162.94,15.04,0.33,4.55,amorphous
319,5.85,-32.31,10.02,1200.09,16.19,0.331,4.45,amorphous
320,6.19,-26.89,9.48,1207.73,15.7,0.349,4.86,amorphous
321,6.2,-26.72,8.5,1191.3,15.49,0.349,4.92,amorphous
322,6.17,-27.31,10.06,1232.37,16.02,0.348,4.77,amorphous
323,6.14,-27.06,9.72,1229.48,15.68,0.341,4.61,amorphous
324,6.12,-26.91,9.54,1228.04,15.51,0.337,4.53,amorphous
325,6.04,-26.61,8.41,1218.47,14.26,0.311,4.04,amorphous
326,3.43,-13.24,9.1,1136.66,9.27,0.29600000000000004,4.3,amorphous
